Weather,relation,Plant
暖温带大陆季风气候,适合种植,鬼箭锦鸡儿
中温带和暖温带湿润性季风气候,适合种植,鬼箭锦鸡儿
暖温带季风型湿润气候区,适合种植,鬼箭锦鸡儿
暖温带半湿润季风气候,适合种植,鬼箭锦鸡儿
暖温带亚湿润季风气候,适合种植,鬼箭锦鸡儿
暖温带湿润季风气候,适合种植,绣线菊
暖温带半湿润性季风气候,适合种植,绣线菊
暖温带半湿润季风山地气候,适合种植,绣线菊
暖温带亚湿润大陆性季风型气候,适合种植,绣线菊
暖温带大陆季风气候,适合种植,绣线菊
中温带和暖温带湿润性季风气候,适合种植,绣线菊
暖温带季风型湿润气候区,适合种植,绣线菊
暖温带半湿润季风气候,适合种植,绣线菊
暖温带亚湿润季风气候,适合种植,绣线菊
暖温带湿润季风气候,适合种植,禾本科
暖温带半湿润性季风气候,适合种植,禾本科
暖温带半湿润季风山地气候,适合种植,禾本科
暖温带亚湿润大陆性季风型气候,适合种植,禾本科
暖温带大陆季风气候,适合种植,禾本科
中温带和暖温带湿润性季风气候,适合种植,禾本科
暖温带季风型湿润气候区,适合种植,禾本科
暖温带半湿润季风气候,适合种植,禾本科
暖温带亚湿润季风气候,适合种植,禾本科
暖温带湿润季风气候,适合种植,莎草科
暖温带半湿润性季风气候,适合种植,莎草科
暖温带半湿润季风山地气候,适合种植,莎草科
暖温带亚湿润大陆性季风型气候,适合种植,莎草科
暖温带大陆季风气候,适合种植,莎草科
中温带和暖温带湿润性季风气候,适合种植,莎草科
暖温带季风型湿润气候区,适合种植,莎草科
暖温带半湿润季风气候,适合种植,莎草科
暖温带亚湿润季风气候,适合种植,莎草科
暖温带湿润季风气候,适合种植,菊科
暖温带半湿润性季风气候,适合种植,菊科
暖温带半湿润季风山地气候,适合种植,菊科
暖温带亚湿润大陆性季风型气候,适合种植,菊科
暖温带大陆季风气候,适合种植,菊科
中温带和暖温带湿润性季风气候,适合种植,菊科
暖温带季风型湿润气候区,适合种植,菊科
暖温带半湿润季风气候,适合种植,菊科
暖温带亚湿润季风气候,适合种植,菊科
暖温带湿润季风气候,适合种植,龙胆科
暖温带半湿润性季风气候,适合种植,龙胆科
暖温带半湿润季风山地气候,适合种植,龙胆科
暖温带亚湿润大陆性季风型气候,适合种植,龙胆科
暖温带大陆季风气候,适合种植,龙胆科
中温带和暖温带湿润性季风气候,适合种植,龙胆科
暖温带季风型湿润气候区,适合种植,龙胆科
暖温带半湿润季风气候,适合种植,龙胆科
暖温带亚湿润季风气候,适合种植,龙胆科
暖温带湿润季风气候,适合种植,百合科
暖温带半湿润性季风气候,适合种植,百合科
暖温带半湿润季风山地气候,适合种植,百合科
暖温带亚湿润大陆性季风型气候,适合种植,百合科
暖温带大陆季风气候,适合种植,百合科
中温带和暖温带湿润性季风气候,适合种植,百合科
暖温带季风型湿润气候区,适合种植,百合科
暖温带半湿润季风气候,适合种植,百合科
暖温带亚湿润季风气候,适合种植,百合科
温带海洋性气候,适合种植,小麦
海洋性温带暖热性气候,适合种植,小麦
温带海洋性气候,适合种植,牧草
海洋性温带暖热性气候,适合种植,牧草
亚热带季风性湿润气候,适合种植,壳斗科
亚热带湿润温和型气候,适合种植,壳斗科
亚热带温润季风气候,适合种植,壳斗科
北亚热带湿润性季风气候,适合种植,壳斗科
北亚热带湿润气候区,适合种植,壳斗科
中亚热带大陆性季风湿润气候,适合种植,壳斗科
中亚热带湿润季风气候区,适合种植,壳斗科
北亚热带湿润季风气候,适合种植,壳斗科
亚热带季风性湿润气候区,适合种植,壳斗科
亚热带季风性湿润气候,适合种植,木兰科
亚热带湿润温和型气候,适合种植,木兰科
亚热带温润季风气候,适合种植,木兰科
北亚热带湿润性季风气候,适合种植,木兰科
北亚热带湿润气候区,适合种植,木兰科
中亚热带大陆性季风湿润气候,适合种植,木兰科
中亚热带湿润季风气候区,适合种植,木兰科
北亚热带湿润季风气候,适合种植,木兰科
亚热带季风性湿润气候区,适合种植,木兰科
亚热带季风性湿润气候,适合种植,金缕梅科
亚热带湿润温和型气候,适合种植,金缕梅科
亚热带温润季风气候,适合种植,金缕梅科
北亚热带湿润性季风气候,适合种植,金缕梅科
北亚热带湿润气候区,适合种植,金缕梅科
中亚热带大陆性季风湿润气候,适合种植,金缕梅科
中亚热带湿润季风气候区,适合种植,金缕梅科
北亚热带湿润季风气候,适合种植,金缕梅科
亚热带季风性湿润气候区,适合种植,金缕梅科
亚热带季风性湿润气候,适合种植,木犀科
亚热带湿润温和型气候,适合种植,木犀科
亚热带温润季风气候,适合种植,木犀科
北亚热带湿润性季风气候,适合种植,木犀科
北亚热带湿润气候区,适合种植,木犀科
中亚热带大陆性季风湿润气候,适合种植,木犀科
中亚热带湿润季风气候区,适合种植,木犀科
北亚热带湿润季风气候,适合种植,木犀科
亚热带季风性湿润气候区,适合种植,木犀科
亚热带季风性湿润气候,适合种植,乔木
亚热带湿润温和型气候,适合种植,乔木
亚热带温润季风气候,适合种植,乔木
北亚热带湿润性季风气候,适合种植,乔木
北亚热带湿润气候区,适合种植,乔木
中亚热带大陆性季风湿润气候,适合种植,乔木
中亚热带湿润季风气候区,适合种植,乔木
北亚热带湿润季风气候,适合种植,乔木
亚热带季风性湿润气候区,适合种植,乔木
高原大陆性气候,适合种植,冬寒
大陆高原气候,适合种植,冬寒
大陆性中温带干旱气候,适合种植,冬寒
大陆性高原气候,适合种植,冬寒
热带季风气候,适合种植,乔木
热带季风性气候,适合种植,乔木
热带季风气候,适合种植,草本
热带季风性气候,适合种植,草本
热带季风气候,适合种植,黄麻
热带季风性气候,适合种植,黄麻
热带季风气候,适合种植,茶叶
热带季风性气候,适合种植,茶叶
热带季风气候,适合种植,可可
热带季风性气候,适合种植,可可
热带季风气候,适合种植,水果
热带季风性气候,适合种植,水果
温带季风性气候,适合种植,阔叶树
暖温带半湿润大陆性季风气候,适合种植,阔叶树
北温带季风性气候,适合种植,阔叶树
温带大陆季风性气候,适合种植,阔叶树
温带季风性气候,适合种植,蒙古栎
暖温带半湿润大陆性季风气候,适合种植,蒙古栎
北温带季风性气候,适合种植,蒙古栎
温带大陆季风性气候,适合种植,蒙古栎
温带季风性气候,适合种植,辽东栎
暖温带半湿润大陆性季风气候,适合种植,辽东栎
北温带季风性气候,适合种植,辽东栎
温带大陆季风性气候,适合种植,辽东栎
温带季风性气候,适合种植,槭属
暖温带半湿润大陆性季风气候,适合种植,槭属
北温带季风性气候,适合种植,槭属
温带大陆季风性气候,适合种植,槭属
温带季风性气候,适合种植,山毛榉
暖温带半湿润大陆性季风气候,适合种植,山毛榉
北温带季风性气候,适合种植,山毛榉
温带大陆季风性气候,适合种植,山毛榉
温带季风性气候,适合种植,糖槭
暖温带半湿润大陆性季风气候,适合种植,糖槭
北温带季风性气候,适合种植,糖槭
温带大陆季风性气候,适合种植,糖槭
温带季风气候,适合种植,山毛榉
北温带季风型大陆性气候,适合种植,山毛榉
温带大陆性季风型气候,适合种植,山毛榉
温带大陆季风气候,适合种植,山毛榉
北温带季风气候,适合种植,山毛榉
暖温带季风气候,适合种植,山毛榉
温带季风气候,适合种植,梣
北温带季风型大陆性气候,适合种植,梣
温带大陆性季风型气候,适合种植,梣
温带大陆季风气候,适合种植,梣
北温带季风气候,适合种植,梣
暖温带季风气候,适合种植,梣
温带季风气候,适合种植,桦
北温带季风型大陆性气候,适合种植,桦
温带大陆性季风型气候,适合种植,桦
温带大陆季风气候,适合种植,桦
北温带季风气候,适合种植,桦
暖温带季风气候,适合种植,桦
温带季风气候,适合种植,藤本
北温带季风型大陆性气候,适合种植,藤本
温带大陆性季风型气候,适合种植,藤本
温带大陆季风气候,适合种植,藤本
北温带季风气候,适合种植,藤本
暖温带季风气候,适合种植,藤本
温带季风气候,适合种植,小麦
北温带季风型大陆性气候,适合种植,小麦
温带大陆性季风型气候,适合种植,小麦
温带大陆季风气候,适合种植,小麦
北温带季风气候,适合种植,小麦
暖温带季风气候,适合种植,小麦
温带季风气候,适合种植,玉米
北温带季风型大陆性气候,适合种植,玉米
温带大陆性季风型气候,适合种植,玉米
温带大陆季风气候,适合种植,玉米
北温带季风气候,适合种植,玉米
暖温带季风气候,适合种植,玉米
温带季风气候,适合种植,高粱
北温带季风型大陆性气候,适合种植,高粱
温带大陆性季风型气候,适合种植,高粱
温带大陆季风气候,适合种植,高粱
北温带季风气候,适合种植,高粱
暖温带季风气候,适合种植,高粱
温带季风气候,适合种植,马铃薯
北温带季风型大陆性气候,适合种植,马铃薯
温带大陆性季风型气候,适合种植,马铃薯
温带大陆季风气候,适合种植,马铃薯
北温带季风气候,适合种植,马铃薯
暖温带季风气候,适合种植,马铃薯
温带季风气候,适合种植,花生
北温带季风型大陆性气候,适合种植,花生
温带大陆性季风型气候,适合种植,花生
温带大陆季风气候,适合种植,花生
北温带季风气候,适合种植,花生
暖温带季风气候,适合种植,花生
温带季风气候,适合种植,棉
北温带季风型大陆性气候,适合种植,棉
温带大陆性季风型气候,适合种植,棉
温带大陆季风气候,适合种植,棉
北温带季风气候,适合种植,棉
暖温带季风气候,适合种植,棉
温带季风气候,适合种植,苹果
北温带季风型大陆性气候,适合种植,苹果
温带大陆性季风型气候,适合种植,苹果
温带大陆季风气候,适合种植,苹果
北温带季风气候,适合种植,苹果
暖温带季风气候,适合种植,苹果
温带季风气候,适合种植,桃
北温带季风型大陆性气候,适合种植,桃
温带大陆性季风型气候,适合种植,桃
温带大陆季风气候,适合种植,桃
北温带季风气候,适合种植,桃
暖温带季风气候,适合种植,桃
温带季风气候,适合种植,杏
北温带季风型大陆性气候,适合种植,杏
温带大陆性季风型气候,适合种植,杏
温带大陆季风气候,适合种植,杏
北温带季风气候,适合种植,杏
暖温带季风气候,适合种植,杏
温带季风气候,适合种植,梨
北温带季风型大陆性气候,适合种植,梨
温带大陆性季风型气候,适合种植,梨
温带大陆季风气候,适合种植,梨
北温带季风气候,适合种植,梨
暖温带季风气候,适合种植,梨
温带季风气候,适合种植,李
北温带季风型大陆性气候,适合种植,李
温带大陆性季风型气候,适合种植,李
温带大陆季风气候,适合种植,李
北温带季风气候,适合种植,李
暖温带季风气候,适合种植,李
温带季风气候,适合种植,枣
北温带季风型大陆性气候,适合种植,枣
温带大陆性季风型气候,适合种植,枣
温带大陆季风气候,适合种植,枣
北温带季风气候,适合种植,枣
暖温带季风气候,适合种植,枣
温带季风气候,适合种植,柿
北温带季风型大陆性气候,适合种植,柿
温带大陆性季风型气候,适合种植,柿
温带大陆季风气候,适合种植,柿
北温带季风气候,适合种植,柿
暖温带季风气候,适合种植,柿
温带季风气候,适合种植,核桃
北温带季风型大陆性气候,适合种植,核桃
温带大陆性季风型气候,适合种植,核桃
温带大陆季风气候,适合种植,核桃
北温带季风气候,适合种植,核桃
暖温带季风气候,适合种植,核桃
温带季风气候,适合种植,阔叶树
北温带季风型大陆性气候,适合种植,阔叶树
温带大陆性季风型气候,适合种植,阔叶树
温带大陆季风气候,适合种植,阔叶树
北温带季风气候,适合种植,阔叶树
暖温带季风气候,适合种植,阔叶树
温带季风气候,适合种植,蒙古栎
北温带季风型大陆性气候,适合种植,蒙古栎
温带大陆性季风型气候,适合种植,蒙古栎
温带大陆季风气候,适合种植,蒙古栎
北温带季风气候,适合种植,蒙古栎
暖温带季风气候,适合种植,蒙古栎
温带季风气候,适合种植,辽东栎
北温带季风型大陆性气候,适合种植,辽东栎
温带大陆性季风型气候,适合种植,辽东栎
温带大陆季风气候,适合种植,辽东栎
北温带季风气候,适合种植,辽东栎
暖温带季风气候,适合种植,辽东栎
温带季风气候,适合种植,槭属
北温带季风型大陆性气候,适合种植,槭属
温带大陆性季风型气候,适合种植,槭属
温带大陆季风气候,适合种植,槭属
北温带季风气候,适合种植,槭属
暖温带季风气候,适合种植,槭属
温带季风气候,适合种植,糖槭
北温带季风型大陆性气候,适合种植,糖槭
温带大陆性季风型气候,适合种植,糖槭
温带大陆季风气候,适合种植,糖槭
北温带季风气候,适合种植,糖槭
暖温带季风气候,适合种植,糖槭
温带季风气候,适合种植,甜菜
北温带季风型大陆性气候,适合种植,甜菜
温带大陆性季风型气候,适合种植,甜菜
温带大陆季风气候,适合种植,甜菜
北温带季风气候,适合种植,甜菜
暖温带季风气候,适合种植,甜菜
温带季风气候,适合种植,棉花
北温带季风型大陆性气候,适合种植,棉花
温带大陆性季风型气候,适合种植,棉花
温带大陆季风气候,适合种植,棉花
北温带季风气候,适合种植,棉花
暖温带季风气候,适合种植,棉花
亚热带季风和季风湿润性气候,适合种植,冬寒
中亚热带季风型山地湿润性气候,适合种植,冬寒
亚热带季风和季风湿润性气候,适合种植,水稻
中亚热带季风型山地湿润性气候,适合种植,水稻
亚热带季风和季风湿润性气候,适合种植,棉花
中亚热带季风型山地湿润性气候,适合种植,棉花
亚热带季风和季风湿润性气候,适合种植,甘薯
中亚热带季风型山地湿润性气候,适合种植,甘薯
亚热带季风和季风湿润性气候,适合种植,油菜
中亚热带季风型山地湿润性气候,适合种植,油菜
亚热带季风和季风湿润性气候,适合种植,树木
中亚热带季风型山地湿润性气候,适合种植,树木
寒温带,适合种植,云杉属
寒温带大陆性季风气候,适合种植,云杉属
寒温带,适合种植,冷杉属
寒温带大陆性季风气候,适合种植,冷杉属
寒温带,适合种植,落叶松属
寒温带大陆性季风气候,适合种植,落叶松属
寒温带,适合种植,松属
寒温带大陆性季风气候,适合种植,松属
寒温带,适合种植,圆柏属
寒温带大陆性季风气候,适合种植,圆柏属
寒温带,适合种植,云杉
寒温带大陆性季风气候,适合种植,云杉
寒温带,适合种植,冷杉
寒温带大陆性季风气候,适合种植,冷杉
寒温带,适合种植,圆柏
寒温带大陆性季风气候,适合种植,圆柏
寒温带,适合种植,落叶松
寒温带大陆性季风气候,适合种植,落叶松
寒温带,适合种植,桦木
寒温带大陆性季风气候,适合种植,桦木
寒温带,适合种植,杨树
寒温带大陆性季风气候,适合种植,杨树
寒温带,适合种植,灌木
寒温带大陆性季风气候,适合种植,灌木
寒温带,适合种植,蔷薇
寒温带大陆性季风气候,适合种植,蔷薇
寒温带,适合种植,槭树
寒温带大陆性季风气候,适合种植,槭树
寒温带,适合种植,稠李
寒温带大陆性季风气候,适合种植,稠李
寒温带,适合种植,酢浆草
寒温带大陆性季风气候,适合种植,酢浆草
寒温带,适合种植,枝条
寒温带大陆性季风气候,适合种植,枝条
寒温带,适合种植,苔藓植物
寒温带大陆性季风气候,适合种植,苔藓植物
寒温带,适合种植,草本
寒温带大陆性季风气候,适合种植,草本
寒温带,适合种植,绣线菊
寒温带大陆性季风气候,适合种植,绣线菊
寒温带,适合种植,茶藨子
寒温带大陆性季风气候,适合种植,茶藨子
寒温带,适合种植,溲疏
寒温带大陆性季风气候,适合种植,溲疏
寒温带,适合种植,唐松草
寒温带大陆性季风气候,适合种植,唐松草
寒温带,适合种植,地榆
寒温带大陆性季风气候,适合种植,地榆
寒温带,适合种植,风毛菊
寒温带大陆性季风气候,适合种植,风毛菊
寒温带,适合种植,杜香
寒温带大陆性季风气候,适合种植,杜香
寒温带,适合种植,柳树
寒温带大陆性季风气候,适合种植,柳树
寒温带,适合种植,草甸
寒温带大陆性季风气候,适合种植,草甸
寒温带,适合种植,针叶树
寒温带大陆性季风气候,适合种植,针叶树
寒温带,适合种植,红松
寒温带大陆性季风气候,适合种植,红松
寒温带,适合种植,鱼鳞松
寒温带大陆性季风气候,适合种植,鱼鳞松
寒温带,适合种植,沙松
寒温带大陆性季风气候,适合种植,沙松
寒温带,适合种植,紫杉
寒温带大陆性季风气候,适合种植,紫杉
寒温带,适合种植,阔叶树
寒温带大陆性季风气候,适合种植,阔叶树
寒温带,适合种植,水曲柳
寒温带大陆性季风气候,适合种植,水曲柳
寒温带,适合种植,黄菠萝
寒温带大陆性季风气候,适合种植,黄菠萝
寒温带,适合种植,藤本植物
寒温带大陆性季风气候,适合种植,藤本植物
寒温带,适合种植,兴安落叶松
寒温带大陆性季风气候,适合种植,兴安落叶松
寒温带,适合种植,青楷槭
寒温带大陆性季风气候,适合种植,青楷槭
寒温带,适合种植,紫椴
寒温带大陆性季风气候,适合种植,紫椴
寒温带,适合种植,红皮云杉
寒温带大陆性季风气候,适合种植,红皮云杉
寒温带,适合种植,羊草
寒温带大陆性季风气候,适合种植,羊草
寒温带,适合种植,榆树
寒温带大陆性季风气候,适合种植,榆树
寒温带,适合种植,盐生草
寒温带大陆性季风气候,适合种植,盐生草
温带气候,适合种植,树叶
北温带气候,适合种植,树叶
高原气候,适合种植,青稞
高原气候,适合种植,胡椒
亚热带,适合种植,冬寒
亚热带,适合种植,硬叶林
亚热带,适合种植,阔叶树
亚热带,适合种植,壳斗科
亚热带,适合种植,樟科
亚热带,适合种植,山茶科
亚热带,适合种植,木兰科
亚热带,适合种植,乔木
亚热带,适合种植,竹
亚热带,适合种植,竹子
亚热带,适合种植,树木
亚热带,适合种植,植株
亚热带,适合种植,灌木
亚热带,适合种植,悬铃木
亚热带,适合种植,旱生植物
亚热带,适合种植,茶
亚热带,适合种植,桑
亚热带,适合种植,番茄
亚热带,适合种植,甜椒
亚热带,适合种植,萝卜
亚热带,适合种植,水稻
亚热带,适合种植,玉米
温带沙漠气候,适合种植,棉
温带沙漠气候,适合种植,西瓜
温带沙漠气候,适合种植,水稻
温带沙漠气候,适合种植,小麦
温带沙漠气候,适合种植,玉米
温带沙漠气候,适合种植,棉花
温带沙漠气候,适合种植,葡萄
温带沙漠气候,适合种植,哈密瓜
温带沙漠气候,适合种植,柏油
温带沙漠气候,适合种植,骆驼刺
温带沙漠气候,适合种植,仙人掌
温带沙漠气候,适合种植,树木
温带沙漠气候,适合种植,龙舌兰
温带沙漠气候,适合种植,芦荟
大陆性气候,适合种植,葡萄
热带雨林气候,适合种植,藤萝
热带雨林气候,适合种植,乔木
热带雨林气候,适合种植,阔叶树
热带雨林气候,适合种植,藤本
热带雨林气候,适合种植,苔藓
热带雨林气候,适合种植,大叶
热带雨林气候,适合种植,草本
热带雨林气候,适合种植,小乔木
热带雨林气候,适合种植,藤本植物
热带雨林气候,适合种植,兰科
热带雨林气候,适合种植,凤梨科
热带雨林气候,适合种植,蕨类植物
热带雨林气候,适合种植,树木
热带雨林气候,适合种植,天南星科
